Ano,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53
2013,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,3,16,6,5,13,5,20,20,6,15,11,6,-,6,6,4,4,3,4,-,3,5,-,1,-,1,1,-,1,-,-,1,2,1,2,3,-,2,-,-,3,4,2,2,-,1,-,1,-,1,2,2,-
2015,1,6,2,5,9,3,-,5,6,24,16,11,12,37,40,52,63,44,74,75,58,41,26,26,26,32,14,27,15,6,24,28,66,70,63,35,37,39,48,24,19,15,11,6,8,8,14,3,11,10,6,1,1
2016,14,6,19,14,15,21,15,18,29,26,38,25,42,11,2,5,18,10,11,13,1,13,10,9,6,10,6,2,1,-,3,5,9,2,10,2,3,6,5,3,3,3,1,4,6,5,6,2,5,11,13,21,-
2017,37,24,85,69,63,79,71,88,96,117,114,127,85,117,97,44,73,40,38,51,42,35,24,18,19,24,19,24,11,16,20,22,19,15,3,4,6,5,5,3,3,19,11,6,9,12,19,17,25,38,58,85,-
2018,114,164,192,161,128,129,112,47,61,97,49,30,23,5,15,4,2,3,6,1,-,-,10,5,17,1,4,4,1,-,1,-,1,-,2,1,1,-,-,3,2,6,1,1,5,3,8,14,20,25,15,13,-
2019,4,5,4,2,6,4,1,4,1,5,1,3,5,3,3,2,1,1,5,4,4,4,3,3,3,-,2,1,-,1,-,5,1,1,-,1,-,2,2,-,-,1,2,-,2,-,2,-,2,2,2,-,-
2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,2,3,2,3,8,4,2,8,3,11,2,6,5,11,4,11,8,8,9,7,1,11,8,7,7,2,2,3,4,8,-,2,3,3,5,1,1,4,8,2,1,3,2,1,2,2,4,3,6,12,2,3,-
2022,1,5,2,2,7,9,6,8,9,4,8,6,9,4,6,3,3,3,3,3,4,5,2,3,2,2,3,2,2,-,-,-,-,-,-,-,-,-,1,-,-,2,2,2,2,1,2,3,1,1,-,-,-
2023,3,-,1,3,4,7,10,8,6,21,28,23,32,11,14,37,106,83,60,47,51,20,20,19,23,18,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
